b,a,phase noise
11,38,-83.69028331
13,38,-83.91316701
15,38,-84.25113308
17,38,-84.38180542
19,38,-84.67001875
21,38,-84.77938334
23,38,-84.96597556
25,38,-85.1735082
27,38,-85.32192743
29,38,-85.53626447
31,38,-85.64267714
33,38,-85.81908068
35,38,-85.9360472
37,38,-86.08027825
39,38,-86.24319958
